"annee";"CP_clean";"age_class";"N_RPU";"N_HCL";"part_HCL"
2019;"01540";NA;"0";"0";NA
2019;"01550";"[0,1]";"36";"0";0
2019;"01550";"(1,4]";"31";"0";0
2019;"01550";"(4,17]";"123";"0";0
2019;"01550";"(17,64]";"Anonymisé";"1-4";0.0084985835694051
2019;"01550";"(64,79]";"64";"0";0
2019;"01550";"(79,Inf]";"Anonymisé";"1-4";0.0476190476190476
2019;"01550";NA;"0";"0";NA
2019;"01560";"[0,1]";"50";"0";0
2019;"01560";"(1,4]";"63";"0";0
2019;"01560";"(4,17]";"Anonymisé";"1-4";0.00363636363636364
2019;"01560";"(17,64]";"785";"9";0.0114649681528662
2019;"01560";"(64,79]";"Anonymisé";"1-4";0.00778210116731518
2019;"01560";"(79,Inf]";"Anonymisé";"1-4";0.0066006600660066
2019;"01560";NA;"0";"0";NA
2019;"01570";"[0,1]";"3";"0";0
2019;"01570";"(1,4]";"6";"0";0
2019;"01570";"(4,17]";"10";"0";0
2019;"01570";"(17,64]";"Anonymisé";"1-4";0.0434782608695652
2019;"01570";"(64,79]";"10";"0";0
2019;"01570";"(79,Inf]";"3";"0";0
2019;"01570";NA;"0";"0";NA
2019;"01580";"[0,1]";"27";"0";0
2019;"01580";"(1,4]";"29";"0";0
2019;"01580";"(4,17]";"Anonymisé";"1-4";0.0223880597014925
2019;"01580";"(17,64]";"536";"7";0.0130597014925373
2019;"01580";"(64,79]";"92";"0";0
2019;"01580";"(79,Inf]";"52";"0";0
2019;"01580";NA;"0";"0";NA
2019;"01590";"[0,1]";"30";"0";0
2019;"01590";"(1,4]";"36";"0";0
2019;"01590";"(4,17]";"Anonymisé";"1-4";0.0152671755725191
2019;"01590";"(17,64]";"498";"5";0.0100401606425703
2019;"01590";"(64,79]";"Anonymisé";"1-4";0.010989010989011
2019;"01590";"(79,Inf]";"56";"0";0
2019;"01590";NA;"0";"0";NA
2019;"01600";"[0,1]";"460";"9";0.0195652173913043
2019;"01600";"(1,4]";"393";"12";0.0305343511450382
2019;"01600";"(4,17]";"1374";"20";0.0145560407569141
2019;"01600";"(17,64]";"3389";"131";0.0386544703452346
2019;"01600";"(64,79]";"670";"12";0.017910447761194
2019;"01600";"(79,Inf]";"460";"5";0.0108695652173913
2019;"01600";NA;"0";"0";NA
2019;"01630";"[0,1]";"294";"0";0
2019;"01630";"(1,4]";"174";"0";0
2019;"01630";"(4,17]";"Anonymisé";"1-4";0.0082815734989648
2019;"01630";"(17,64]";"1704";"5";0.00293427230046948
2019;"01630";"(64,79]";"Anonymisé";"1-4";0.00408163265306122
2019;"01630";"(79,Inf]";"Anonymisé";"1-4";0.00425531914893617
2019;"01630";NA;"0";"0";NA
2019;"01640";"[0,1]";"62";"6";0.0967741935483871
2019;"01640";"(1,4]";"46";"0";0
2019;"01640";"(4,17]";"Anonymisé";"1-4";0.00740740740740741
2019;"01640";"(17,64]";"672";"13";0.0193452380952381
2019;"01640";"(64,79]";"Anonymisé";"1-4";0.0116959064327485
2019;"01640";"(79,Inf]";"187";"0";0
2019;"01640";NA;"0";"0";NA
2019;"01660";"[0,1]";"55";"0";0
2019;"01660";"(1,4]";"52";"0";0
2019;"01660";"(4,17]";"198";"0";0
2019;"01660";"(17,64]";"Anonymisé";"1-4";0.00710479573712256
2019;"01660";"(64,79]";"Anonymisé";"1-4";0.00645161290322581
2019;"01660";"(79,Inf]";"106";"0";0
2019;"01660";NA;"0";"0";NA
2019;"01680";"[0,1]";"Anonymisé";"1-4";0.0666666666666667
2019;"01680";"(1,4]";"Anonymisé";"1-4";0.111111111111111
2019;"01680";"(4,17]";"Anonymisé";"1-4";0.0175438596491228
2019;"01680";"(17,64]";"Anonymisé";"1-4";0.00529100529100529
2019;"01680";"(64,79]";"73";"0";0
