RegCode;DepCode;age_group;Year;n;n_HCL;Pop;p_HCL;catchment_HCL
84;69;65-79;2022;53077;16954;230542,00000000000;0,319422725474310887;73640,3539762985747
84;69;65-79;2023;52783;16824;233351,00000000000;0,318738987931720452;74378,0615728549019
84;69;65-79;2024;60004;17730;236100,00000000000;0,295480301313245763;69762,8991400573286
84;69;80+;2019;47351;16565;100865,00000000000;0,349834216806403253;35286,0282781778660
84;69;80+;2020;42436;16166;102255,00000000000;0,380950136676406814;38954,0562258459759
84;69;80+;2021;45870;17465;102371,00000000000;0,380749945498146947;38977,7526705908022
84;69;80+;2022;48353;19102;103225,00000000000;0,395053047380720945;40779,3508158749173
84;69;80+;2023;49359;19503;104480,00000000000;0,395125509025709587;41282,7131830061408
84;69;80+;2024;53216;19615;106631,00000000000;0,368592152736019252;39303,3498383944680
84;69;NA;2019;9;0;NA;0,000000000000000000;NA
84;69;NA;2020;5;0;NA;0,000000000000000000;NA
84;69;NA;2021;5;0;NA;0,000000000000000000;NA
84;69;NA;2022;5;0;NA;0,000000000000000000;NA
84;69;NA;2023;41;0;NA;0,000000000000000000;NA
84;69;NA;2024;6;0;NA;0,000000000000000000;NA
84;73;0-1;2019;1985;0;8684,42274499703;0,000000000000000000;0,0000000000000
84;73;0-1;2020;1390;0;8831,83133496506;0,000000000000000000;0,0000000000000
84;73;0-1;2021;2748;0;8661,76445413542;0,000000000000000000;0,0000000000000
84;73;0-1;2022;5864;8;8569,87868931741;0,001364256480218281;11,6915125365858
84;73;0-1;2023;5273;5;8488,42728429368;0,000948226815854352;8,0489543753970
84;73;0-1;2024;2101;0;7985,55912303734;0,000000000000000000;0,0000000000000
84;73;2-4;2019;2281;0;13942,57725500297;0,000000000000000000;0,0000000000000
84;73;2-4;2020;1592;0;14027,16866503494;0,000000000000000000;0,0000000000000
84;73;2-4;2021;4314;6;13713,23554586458;0,001390820584144645;19,0726502724125
84;73;2-4;2022;3607;0;13494,12131068259;0,000000000000000000;0,0000000000000
84;73;2-4;2023;4930;6;13328,57271570632;0,001217038539553753;16,2213866722592
84;73;2-4;2024;5173;10;13070,44087696266;0,001933114247052001;25,2666554745074
84;73;5-17;2019;9791;5;68418,01836402445;0,000510673067102441;34,9392392830275
84;73;5-17;2020;5873;8;68542,65652071701;0,001362165843691469;93,3664655483971
